ID,Book,chapter,scene,speaker1,speaker2,n_turns,start_dialogue,end_dialogue,words_intervened,name_changes,other_changes,text,comments,translation needs to be checked,random selection,NORSK OVERSETTELSE,SIDETALL I NORSK OVERS.,NORSK 2,correction
OT_01,OT,4,1,Mr. Bumble,Mr. Sowerberry,3,no,no,yes,no,no,"“Well, well, every trade has its drawbacks. A fair profit is, of course, allowable.”
“Of course, of course; and if I don’t get a profit upon this or that particular article, why, I make it up in the long-run, you see—he! he! he!”
“Just so.” ",,,in,"""Ja ja,"" sa herr Buble, ""alle bransjer har sine ulemper, og ei rimelig forteneste kan ingen ha innvendinger imot."" ""Nei visst, nei visst,"" svarte bedemannen, ""og blir det ingen fortjeneste på det ene eller det andre, ja, så tar jeg det jo inn over langs, ikke sant - he he he!"" ""Akkurat,"" sa herr Bumble. ",40,"""Ja ja, alle bransjer har sine ulemper, og ei rimelig forteneste kan ingen ha innvendinger imot.""
""Nei visst, nei visst, og blir det ingen fortjeneste på det ene eller det andre, ja, så tar jeg det jo inn over langs, ikke sant - he he he!""
""Akkurat."" 
",forteneste is in the book
OT_52,OT,51,3,Rose,Harry,3,,,,,,"“Stay,” said Rose. “You do know all.”
“All. You gave me leave, at any time within a year, to renew the subject of our last discourse.”
“I did.”",,,,"""Vent,"" sa Rose. ""Vet du virkelig alt?"" 
""Alt. Du gave meg lov til, når som helst innen et år var gått, å gjennoppta emnet for vår siste samtale.""
""Jeg gjørde det.""",519,"""Vent. Vet du virkelig alt?"" 
""Alt. Du gave meg lov til, når som helst innen et år var gått, å gjennoppta emnet for vår siste samtale.""
""Jeg gjørde det.""",
OT_12,OT,27,1,Charlotte,Mr. Claypole,3,no,no,yes,yes,no,"“It’s quite a cruelty.”
“So it is. An’t yer fond of oysters?”
“Not overmuch. I like to see you eat ’em, Robert dear, better than eating ’em myself.”",Noah=Robert,,in,"""Grusomt, er det,"" sa Charlotte. ""Jamen er det så,"" samtykket Noah. ""Liker'u'kke østers, du?"" ""Ikke så veldig,"" sa Charlotte. ""Jeg liker å se at du spiser dem, Noah skatt, bedre enn jeg liker dem sjøl.""",266,"""Grusomt, er det."" 
""Jamen er det så. Liker'u'kke østers, du?"" 
""Ikke så veldig. Jeg liker å se at du spiser dem, Noah skatt, bedre enn jeg liker dem sjøl.""
",
OT_18,OT,35,1,Harry,Rose,3,no,no,yes,no,no,"“I—I—ought to have left here, before.”
“You should, indeed. Forgive me for saying so, but I wish you had.”
“I was brought here, by the most dreadful and agonising of all apprehensions; the fear of losing the one dear being on whom my every wish and hope are fixed. You had been dying; trembling between earth and heaven. We know that when the young, the beautiful, and good, are visited with sickness, their pure spirits insensibly turn towards their bright home of lasting rest; we know, Heaven help us! that the best and fairest of our kind, too often fade in blooming.”",,,in,"""Jeg - jeg - burde ha reist herfra før,"" sa Harry. ""Ja, det burde du,"" svarte Rose. ""Tilgi at jeg sier det, men jeg skulle ønske du hadde gjort det."" ""Det som førte meg hit, var en engstelse,"" sa den unge mannen, ""den frykteligste, den vondeste som tenkes kan - frykten for å miste det ene, det kjæreste vesen som alle mine ønsker og håp kretser rundt. Du var døende - vippet mellom himmel og jord. Vi vet jo at når sykdom rammer de unge, de skjønne og gode, da vender deres sinn seg uvilkårlig mot sin skinnende, evige hvile, og slik har det seg at de beste og fineste så ofte dør midt i sin blomstring.""",340,"""Jeg - jeg - burde ha reist herfra før."" 
""Ja, det burde du. Tilgi at jeg sier det, men jeg skulle ønske du hadde gjort det.""
 ""Det som førte meg hit, var en engstelse, den frykteligste, den vondeste som tenkes kan - frykten for å miste det ene, det kjæreste vesen som alle mine ønsker og håp kretser rundt. Du var døende - vippet mellom himmel og jord. Vi vet jo at når sykdom rammer de unge, de skjønne og gode, da vender deres sinn seg uvilkårlig mot sin skinnende, evige hvile, og slik har det seg at de beste og fineste så ofte dør midt i sin blomstring.""
",all correct
OT_31,OT,42,2,Charlotte,Mr. Claypole,3,,,,,,"“I should like that well enough, dear,” replied Charlotte; “but tills ain’t to be emptied every day, and people to get clear off after it.”
“Tills be blowed!” said Mr. Claypole; “there’s more things besides tills to be emptied.”
“What do you mean?” asked his companion.
",,,,"""Det sku jeg gjerne, vensen, ""svarte Charlotte, ""men det er'kke hver dag det er en pengeskuff  å tømme, og etterpå gjelder det å sleppe unna.""
""Til hilske med pengeskuffer!"" sa herr Claypole. ""Det fins andre ting enn skuffer å tømme.""
""Hva da, mener du?"" spurte hans ledsager.",418,"""Det sku jeg gjerne, vensen, men det er'kke hver dag det er en pengeskuff  å tømme, og etterpå gjelder det å sleppe unna.""
""Til hilske med pengeskuffer! Det fins andre ting enn skuffer å tømme.""
""Hva da, mener du?"" ",
OT_38,OT,44,2,Sikes,Fagin,3,no ,no,yes,no,no,"“Nor I. I think she’s got a touch of that fever in her blood yet, and it won’t come out—eh?”
“Like enough.”
“I’ll let her a little blood, without troubling the doctor, if she’s took that way again.”",,,in,"""Jeg trur a må ha fått en snev av den feberen i blodet, go ikke snakk om at'n gir seg, hæ?"" ""Sikkert,"" svarte jøden. ""Jeg kan alltids tappe litt blod av a uten å bry dokter'n, hvis at a får et slikt anfall igjen,"" sa Sikes.",441,"""Jeg trur a må ha fått en snev av den feberen i blodet, og ikke snakk om at'n gir seg, hæ?""
""Sikkert.""
""Jeg kan alltids tappe litt blod av a uten å bry dokter'n, hvis at a får et slikt anfall igjen.""
",
OT_40,OT,45,1,Fagin,Mr. Bolter,3,no,no,yes,no,no,"“A young one.”
“I can do that pretty well, I know. I was a regular cunning sneak when I was at school. What am I to dodge her for? Not to—”
“Not to do anything, but to tell me where she goes, who she sees, and, if possible, what she says; to remember the street, if it is a street, or the house, if it is a house; and to bring me back all the information you can.”",,,in,"""Ei ung ei,"" svarte Fagin. ""Det kan jeg godt fikse, det veit jeg,"" sa Bolter. ""Jeg var en skikkelig slu snik når jeg gikk på skolen. Hva skal jeg skygge a for? Ikke for - ?"" ""Ikke for å gjøra noe som helst,"" avbrøt jøden, ""bare for å fortelle meg hvor a går, hvem a treffer, og om mulig, hva a sier, for å huske gata, hvis det er ei gate, eller huset, om det er et hus, og komma tilbakers til meg med ås mye opplysninger du kan."" ",445,"""Ei ung ei."" 
""Det kan jeg godt fikse, det veit jeg.""
""Jeg var en skikkelig slu snik når jeg gikk på skolen. Hva skal jeg skygge a for? Ikke for - ?""
""Ikke for å gjøra noe som helst, bare for å fortelle meg hvor a går, hvem a treffer, og om mulig, hva a sier, for å huske gata, hvis det er ei gate, eller huset, om det er et hus, og komma tilbakers til meg med ås mye opplysninger du kan.""","""Veit"" , ""gjøra"" and ""tilbakers"" are all according to the original; they are more oral, dialect (or even sociolect - indicating working-class [or below]) in the case of ""gjøra"" (which would be gjøre otherwise) and ""tilbakers"" (which would be ""tilbake"" in the standard bokmål)"
OT_07,OT,12,1,old lady,Oliver,3,yes,no,yes,yes,no,"""Never mind me, my dear; I’m only having a regular good cry. There; it’s all over now; and I’m quite comfortable.”
“You’re very, very kind to me, ma’am.”
“Well, never you mind that, my dear; that’s got nothing to do with your broth; and it’s full time you had it; for the doctor says Mr. Jackson may come in to see you this morning; and we must get up our best looks, because the better we look, the more he’ll be pleased.”",Mr. Brownlow=Mr. Jackson NEW,,in,"""Ikke bry deg om meg, lille venn,"" sa hun. ""Jeg får meg bare en god omgang gråt. Se så, da var det over, nå er jeg meg selv igjen."" ""De er veldig, veldig snill mot meg, frue,"" sa Oliver. ""Det skal du ikke tenke på, vennen min,"" sa den gamle damen. ""Det har ingenting med buljongen din å gjøre, og den er det jamen på tide at du får, for doktoren sier at herr Brownlow kanskje kommer og ser til deg nå i formiddag, så vi må jo se godt ut, for jo bedre vi ser ut, desto gladere blir han.""",111,"""Ikke bry deg om meg, lille venn.""
""Jeg får meg bare en god omgang gråt. Se så, da var det over, nå er jeg meg selv igjen.""
""De er veldig, veldig snill mot meg, frue.""
""Det skal du ikke tenke på, vennen min.""
""Det har ingenting med buljongen din å gjøre, og den er det jamen på tide at du får, for doktoren sier at herr Brownlow kanskje kommer og ser til deg nå i formiddag, så vi må jo se godt ut, for jo bedre vi ser ut, desto gladere blir han.""
",
OT_13,OT,32,1,Rose,Oliver,3,no,no,yes,yes,no,"""To whom?” 
“To the kind gentleman, and the dear old nurse, who took so much care of me before. If they knew how happy I am, they would be pleased, I am sure.”
“I am sure they would; and Mr. Rabson has already been kind enough to promise that when you are well enough to bear the journey, he will carry you to see them.”","Mr. Losberne=Mr. Rabson, gentleman???, NEW",,in,"""Mot hvem da?"" spurte hun. ""Den snille herren og den søte gamle pleierska som pasa på meg så godt før,"" svarte Oliver. ""Om dem visste hvor lykkelig jeg er, hadde dem sikkert blitt glad."" ""Det ville de helt sikkert,"" a hans velgjørerinne. ""Og doktor Losberne har allerede vært så elskverdig å love at når du er blitt frisk nok til det, skal han selv komme og ta deg med på et besøk dit.""",306,"""Mot hvem da?"" 
""Den snille herren og den søte gamle pleierska som pasa på meg så godt før.""
""Om dem visste hvor lykkelig jeg er, hadde dem sikkert blitt glad."" 
""Det ville de helt sikkert.""
""Og doktor Losberne har allerede vært så elskverdig å love at når du er blitt frisk nok til det, skal han selv komme og ta deg med på et besøk dit.""
","pleierske, passa, du, det - all are correct (and ""dem"" in red also according to original translation - sociolect, cf above)"
OT_32,OT,42,3,Fagin,Mr. Claypole,3,no,no,yes,no,no,"“The top of the tree; employs a power of hands; has the very best society in the profession.”
“Regular town-maders?”
“Not a countryman among ’em; and I don’t think he’d take you, even on my recommendation, if he didn’t run rather short of assistants just now.”",,,in,"""Toppen av kransekaka,"" sa jøden. ""Har en drøss med folk og den beste banden i bransjen."" ""Årntlige byfolk?"" spurte herr Claypole. ""Ikke en bondegutt blant dem. Og jeg trur'kke han hadde tatt deg, sjøl på min anbefaling, hvis at det ikke var for at'n er i litt beit for hjelpere akurat nå,"" svarte jøden. ",422,"""Toppen av kransekaka.""
""Har en drøss med folk og den beste banden i bransjen.""
""Årntlige byfolk?"" 
""Ikke en bondegutt blant dem. Og jeg trur'kke han hadde tatt deg, sjøl på min anbefaling, hvis at det ikke var for at'n er i litt beit for hjelpere akkurat nå.""","""kransekaka"" is correct"
